text,rating,sentiment,text_clean,label_indobert,label_mbert
"aplikasi bagussss bangeytt woooiiii bikin aplikasi yang benerrrrr, pajak kan duitnye banyakkk !! apaansi ngirim kode OTP aje ga kekirim kirim kocakkkk malu sekelas punya negara begini, kerja lu pada ngapain sii",1,Negative,aplikasi bagussss bangeytt woooiiii bikin aplikasi yang benerrrrr pajak kan duitnye banyakkk apaansi ngirim kode otp aje ga kekirim kirim kocakkkk malu sekelas punya negara begini kerja lu pada ngapain sii,Negative,Negative
"muter² suweee, Jane ISO PO Ra gae aplikasi",3,Neutral,muter suweee jane iso po ra gae aplikasi,Neutral,Neutral
baik sekali terimakasih,5,Positive,baik sekali terimakasih,Positive,Positive
Jelek banget sampe gak lapor spt. bomat deh. login aja gak bisa,1,Negative,jelek banget sampe gak lapor spt bomat deh login aja gak bisa,Negative,Negative
"Aplikasi apaan ini, banyak bug bjir, udah ngisi form berkali kali masih gagal terus, terus minta bantuan di telpon malah di tutup",1,Negative,aplikasi apaan ini banyak bug bjir udah ngisi form berkali kali masih gagal terus terus minta bantuan di telpon malah di tutup,Negative,Negative
apk eror terus gk bisa login,1,Negative,apk eror terus gk bisa login,Negative,Negative
waw mantap,5,Positive,waw mantap,Positive,Positive
"padahal sudah benar detail alamatnya, tapi kok error terus tolong diperbaiki biar bisa registrasi 👎",1,Negative,padahal sudah benar detail alamatnya tapi kok error terus tolong diperbaiki biar bisa registrasi,Negative,Negative
cepat dan lengkap,5,Positive,cepat dan lengkap,Positive,Positive
it's the best,5,Positive,it s the best,Positive,Positive
"parah, eror terus. mau log in aja susah. ini niat gasih buat apk",1,Negative,parah eror terus mau log in aja susah ini niat gasih buat apk,Negative,Negative
"aplikasi membingungkan dan bikin pusing orang. sudah berjam2 tidak bisa dipakai.. padahal sudah masukin data, sandi, dengan benar tapi selalu di ulang2 terus. udah verikasi swafoto trs suruh ganti sandi tapi selalu stuck disitu trs.. ini mah bukan mempermudah tp bikin mumet. lapor pajak aja sampe repot begini.",1,Negative,aplikasi membingungkan dan bikin pusing orang sudah berjam2 tidak bisa dipakai padahal sudah masukin data sandi dengan benar tapi selalu di ulang2 terus udah verikasi swafoto trs suruh ganti sandi tapi selalu stuck disitu trs ini mah bukan mempermudah tp bikin mumet lapor pajak aja sampe repot begini,Negative,Negative
sangat mendukung,5,Positive,sangat mendukung,Positive,Positive
"kenapa nomor NPWP gak bisa masuk, padahal baru kemarin ke kantor pajak reset password dan email.. udah bener.. eh malah tidak terdaftar katanya.. hahhh kok bisa, sandinya dan email udh bener, difoto malah",1,Negative,kenapa nomor npwp gak bisa masuk padahal baru kemarin ke kantor pajak reset password dan email udah bener eh malah tidak terdaftar katanya hahhh kok bisa sandinya dan email udh bener difoto malah,Negative,Negative
masuk aplikasi bolak balik verifikasi tapi ga puas2 kalian gimna mau bayar pajak login apk ribet x,1,Negative,masuk aplikasi bolak balik verifikasi tapi ga puas2 kalian gimna mau bayar pajak login apk ribet x,Negative,Negative
Siipp sudah lapor,5,Positive,siipp sudah lapor,Positive,Positive
apk nya terlalu rumit sih untuk daptar nya susah amat apk nya terlalu nyedot pulsa emg bener2,1,Negative,apk nya terlalu rumit sih untuk daptar nya susah amat apk nya terlalu nyedot pulsa emg bener2,Negative,Negative
ok,4,Positive,ok,Positive,Positive
bagus,5,Positive,bagus,Positive,Positive
pulsa habis otp ga nyampe hadeuh,1,Negative,pulsa habis otp ga nyampe hadeuh,Negative,Negative
update mulu,1,Negative,update mulu,Negative,Negative
"susah masuk tinggal verifikasi jadi ribet amat pake koretak padahal email no hp sama,, gimanamau laporan",1,Negative,susah masuk tinggal verifikasi jadi ribet amat pake koretak padahal email no hp sama gimanamau laporan,Negative,Negative
suuulit,5,Positive,suuulit,Positive,Positive
pajak ketinggian,1,Negative,pajak ketinggian,Negative,Negative
RIBET,1,Negative,ribet,Negative,Negative
habis pembaruan kok Sekarang sulit sekali ya login di djp....bad aplikasinya,1,Negative,habis pembaruan kok sekarang sulit sekali ya login di djp bad aplikasinya,Negative,Negative
bagus,5,Positive,bagus,Positive,Positive
ga fungsi,1,Negative,ga fungsi,Negative,Negative
aplikasi paling buruk,1,Negative,aplikasi paling buruk,Negative,Negative
mantap,5,Positive,mantap,Positive,Positive
good,5,Positive,good,Positive,Positive
saya kasi tiga dulu karena blom tau aplikaainya ini mempermudah atau mempersulit,3,Neutral,saya kasi tiga dulu karena blom tau aplikaainya ini mempermudah atau mempersulit,Neutral,Neutral
aktivis akun aja susahnya minta ampuuuuuuuunnnnnn,1,Negative,aktivis akun aja susahnya minta ampuuuuuuuunnnnnn,Negative,Negative
ok,5,Positive,ok,Positive,Positive
"aplikasi buruk banget, gagal terus input data",1,Negative,aplikasi buruk banget gagal terus input data,Negative,Negative
sungguh sangat buruk ini aplikasi. mau daftar juga susah banget.. padahal mau baik mau laporan pendapat.,1,Negative,sungguh sangat buruk ini aplikasi mau daftar juga susah banget padahal mau baik mau laporan pendapat,Negative,Negative
"mau daftar aja di persulit banget, dateng ke kantor pajak disuruh pulang buat dulu di online giliran buat online malah di persulit padahal mau bayar ke negara susah amat dah aneh",1,Negative,mau daftar aja di persulit banget dateng ke kantor pajak disuruh pulang buat dulu di online giliran buat online malah di persulit padahal mau bayar ke negara susah amat dah aneh,Negative,Negative
"aplikasi boomers sistem aneh, mau verif akun aja lama upgrade noh apk lu kocak",1,Negative,aplikasi boomers sistem aneh mau verif akun aja lama upgrade noh apk lu kocak,Negative,Negative
mau lapor spt malah ribet .... ga guna,1,Negative,mau lapor spt malah ribet ga guna,Negative,Negative
"aplikasi & web nya sama aja ga jelas, mau ganti sandi ngga bisa, ngasih link ga jelas link nya apa.",1,Negative,aplikasi web nya sama aja ga jelas mau ganti sandi ngga bisa ngasih link ga jelas link nya apa,Negative,Negative
sangat membantu aplikasi ini,5,Positive,sangat membantu aplikasi ini,Positive,Positive
Sy sudah berusaha jadi WP terbaik..namun aplikasi yg baru ini begitu ribet sekali...susah login...tdk bisa masuk ...bahkan website cortex Pajak SPT tahunan PPh tdk bisa masuk... setelah lakukan perubahan data kemarin..malah di April sama sekali susah sinkronisasi mana lagi karena WP harus lapor lagi padahal sudah terbayar dan terpotong...kita rakyat dipersulit...para pegawai santai terima tunjangan dan gaji...waktu kami terpakai terus urusan ini...data internet dan wifi tdk gratisan,3,Neutral,sy sudah berusaha jadi wp terbaik namun aplikasi yg baru ini begitu ribet sekali susah login tdk bisa masuk bahkan website cortex pajak spt tahunan pph tdk bisa masuk setelah lakukan perubahan data kemarin malah di april sama sekali susah sinkronisasi mana lagi karena wp harus lapor lagi padahal sudah terbayar dan terpotong kita rakyat dipersulit para pegawai santai terima tunjangan dan gaji waktu kami terpakai terus urusan ini data internet dan wifi tdk gratisan,Neutral,Neutral
"aplikasi bikin pusing, data sudah dimasukkan dengan benar, verifikasi muka, email masih saja kesalahan. membagongkan",1,Negative,aplikasi bikin pusing data sudah dimasukkan dengan benar verifikasi muka email masih saja kesalahan membagongkan,Negative,Negative
aplikasi macam apa ini cooegg gajelas banget mau login aja susah mana makan pulsa pula NYESEL JADI WNI,1,Negative,aplikasi macam apa ini cooegg gajelas banget mau login aja susah mana makan pulsa pula nyesel jadi wni,Negative,Negative
ga paham,2,Negative,ga paham,Negative,Negative
aplikasi jelek,1,Negative,aplikasi jelek,Negative,Negative
"Aplikasinya masih banyak bug. Tidak bisa mengubah informasi akun seperti nomor telepon. Setelah berhasil login sekali di Coretax, saat logout dan coba login lagi malah tidak bisa masuk. Mohon diperbaiki, karena sangat mengganggu. Selain itu, tidak ada notifikasi error yang jelas, jadi pengguna bingung harus melakukan apa. Untuk aplikasi yang berkaitan dengan pajak, seharusnya sistem lebih stabil dan dapat diandalkan.",1,Negative,aplikasinya masih banyak bug tidak bisa mengubah informasi akun seperti nomor telepon setelah berhasil login sekali di coretax saat logout dan coba login lagi malah tidak bisa masuk mohon diperbaiki karena sangat mengganggu selain itu tidak ada notifikasi error yang jelas jadi pengguna bingung harus melakukan apa untuk aplikasi yang berkaitan dengan pajak seharusnya sistem lebih stabil dan dapat diandalkan,Negative,Negative
gak guna,1,Negative,gak guna,Negative,Negative
"ga modal, apk pajak masak mau verif otp tlpn aja kita yg bayar pulsa nya. ini apk pemetintah loh, kita mau bayar pajak aja masih kena palakin",1,Negative,ga modal apk pajak masak mau verif otp tlpn aja kita yg bayar pulsa nya ini apk pemetintah loh kita mau bayar pajak aja masih kena palakin,Negative,Negative
"duuh susah amat login, udah bener semua, error melulu, udah fiturnya tidak lengkap, untuk login oun susah. tidak berfaedah dan tidak membantu sama sekali.",1,Negative,duuh susah amat login udah bener semua error melulu udah fiturnya tidak lengkap untuk login oun susah tidak berfaedah dan tidak membantu sama sekali,Negative,Negative
tidak bisa di buka,1,Negative,tidak bisa di buka,Negative,Negative
Kacauuu... kode Verifikasi dari SMS gak masuk masuk,1,Negative,kacauuu kode verifikasi dari sms gak masuk masuk,Negative,Negative
aplikasi sampahhh,1,Negative,aplikasi sampahhh,Negative,Negative
"aplikasi gak jelas, mau daftar akun gagal terus",1,Negative,aplikasi gak jelas mau daftar akun gagal terus,Negative,Negative
wajib pajak harus dibayar,5,Positive,wajib pajak harus dibayar,Positive,Positive
"downloadnya mentok 99 persen aja nih, baru mau download aja udah masalah gimana di dalamnya ya",1,Negative,downloadnya mentok 99 persen aja nih baru mau download aja udah masalah gimana di dalamnya ya,Negative,Negative
aplikasi tidak bermutu,1,Negative,aplikasi tidak bermutu,Negative,Negative
"gagal terus mau login, eror terus 😭😭",1,Negative,gagal terus mau login eror terus,Negative,Negative
"aplikasi sampah, mau daftar npwp aja sulit padahal data sudah sesuai",1,Negative,aplikasi sampah mau daftar npwp aja sulit padahal data sudah sesuai,Negative,Negative
"GK jelas, sdh isi semua data hasil akhirnya gagal terus. Auto uninstall",1,Negative,gk jelas sdh isi semua data hasil akhirnya gagal terus auto uninstall,Negative,Negative
aplikasi payah,1,Negative,aplikasi payah,Negative,Negative
bagus,5,Positive,bagus,Positive,Positive
ini apk susah sekali berulang ulang verifikasi tetep ngga bisa,1,Negative,ini apk susah sekali berulang ulang verifikasi tetep ngga bisa,Negative,Negative
"buset dah masih menggunakan teknik jadul, verifikasi lewat SMS yang dibebankan kepada penerima. padahal bisa lewat wa yang gratis",1,Negative,buset dah masih menggunakan teknik jadul verifikasi lewat sms yang dibebankan kepada penerima padahal bisa lewat wa yang gratis,Negative,Negative
"setiap kali melakukan percobaan aktivasi muncul notif seperti ini ""We can not verify your identity! (GenericError)""",1,Negative,setiap kali melakukan percobaan aktivasi muncul notif seperti ini we can not verify your identity genericerror,Negative,Negative
gak jelas.. mau daftar NPWP online pun gabisa. ribet bgt nii.. norak bgt ni DJP.. gak jelas lu pada kerjanya.,1,Negative,gak jelas mau daftar npwp online pun gabisa ribet bgt nii norak bgt ni djp gak jelas lu pada kerjanya,Negative,Negative
APLIKASI BAPUK!!!! NARIK DUIT PAJAK AJA CEPAT APLIKASI GA BERFUNGSI GA DI BENERIN!!!! BLOKKK,1,Negative,aplikasi bapuk narik duit pajak aja cepat aplikasi ga berfungsi ga di benerin blokkk,Negative,Negative
"Apk apa ini Gk jelas betul iklannya cuma 5 menti udah bisa buat NPWP pas mau daftar baru lembaran kedua udah di persulit kita udah verify email & no telpon udah masukin kode otp juga pas mau lanjut Gk bisa gitu kok katanya mempermudah, kita disuruh wajib pajak buat NPWP dipersulit pajak dibayar dikorupsi pula nanti Gk bayar pajak kita pula disalahkan dianggap ilegal kocak memang aturan negara ini",1,Negative,apk apa ini gk jelas betul iklannya cuma 5 menti udah bisa buat npwp pas mau daftar baru lembaran kedua udah di persulit kita udah verify email no telpon udah masukin kode otp juga pas mau lanjut gk bisa gitu kok katanya mempermudah kita disuruh wajib pajak buat npwp dipersulit pajak dibayar dikorupsi pula nanti gk bayar pajak kita pula disalahkan dianggap ilegal kocak memang aturan negara ini,Negative,Negative
diperbaikin dong pelayanannya,1,Negative,diperbaikin dong pelayanannya,Negative,Negative
ribet,1,Negative,ribet,Negative,Negative
"parah sih apknya, blunder bener di suruh download perkara mau ganti sandi di coretax katanya nih tampilan awal nya ini apk ga usah login bisa ganti sandi ternyata tampilan awalnya ga ada dong yang buat ganti sandi ekwkw lawak anjr lah ribet banget apa² sekarang harus pake NPWN giliran mau urus ga susah eror terus dah gitu bisa sih ganti sandi coretax tapi lewat Google tapi apakah anda tau?? yaps link nya di kirim ke sms dan linkya gak bisa di klik kek mana??? di salin ga bisa",2,Negative,parah sih apknya blunder bener di suruh download perkara mau ganti sandi di coretax katanya nih tampilan awal nya ini apk ga usah login bisa ganti sandi ternyata tampilan awalnya ga ada dong yang buat ganti sandi ekwkw lawak anjr lah ribet banget apa sekarang harus pake npwn giliran mau urus ga susah eror terus dah gitu bisa sih ganti sandi coretax tapi lewat google tapi apakah anda tau yaps link nya di kirim ke sms dan linkya gak bisa di klik kek mana di salin ga bisa,Negative,Negative
"Udah ya temen², jangan daftar online, percuma habis2 in pulsa kalian doang, udah muak banget dengan pajak² an",1,Negative,udah ya temen jangan daftar online percuma habis2 in pulsa kalian doang udah muak banget dengan pajak an,Negative,Negative
"email bener pasword bener gagal melulu, menu gak lengkap. perbaiki la kl niat mau buat APK yang dapat membantu orang lain.",1,Negative,email bener pasword bener gagal melulu menu gak lengkap perbaiki la kl niat mau buat apk yang dapat membantu orang lain,Negative,Negative
niat bikin aplikasi ga si jink?,1,Negative,niat bikin aplikasi ga si jink,Negative,Negative
kortek gak jelas,1,Negative,kortek gak jelas,Negative,Negative
"Kita yg bayar pajak, kita juga yg di repotin ,terus kerjaan org pajak apaan? .... mending gampang bikin laporannya😇😇😇",1,Negative,kita yg bayar pajak kita juga yg di repotin terus kerjaan org pajak apaan mending gampang bikin laporannya,Negative,Negative
Aplikasi bapuk login susah,1,Negative,aplikasi bapuk login susah,Negative,Negative
"kirain download aplikasi bakal lebih mudah verifikasi nya, ga aplikasinya ga websitenya sama sama payah.",1,Negative,kirain download aplikasi bakal lebih mudah verifikasi nya ga aplikasinya ga websitenya sama sama payah,Negative,Negative
"Gajelas. Mau login dibawa ke browser. Suda login di browser malah error:400. Minta orang pribadi lapor SPT, malah dipersulit, T4IK. Pas udah login haduh gak ada isinya yg bisa diapa²in, SPT malah ""We'll back soon"". Memang t4ik",1,Negative,gajelas mau login dibawa ke browser suda login di browser malah error 400 minta orang pribadi lapor spt malah dipersulit t4ik pas udah login haduh gak ada isinya yg bisa diapa in spt malah we ll back soon memang t4ik,Negative,Negative
nyusahi aje loe thong..,1,Negative,nyusahi aje loe thong,Negative,Negative
"sudah ikutin semua arahan tetep aja tidak bisa aktifasi ini aplikasi... bagaimana sih ini, tolongggggg",1,Negative,sudah ikutin semua arahan tetep aja tidak bisa aktifasi ini aplikasi bagaimana sih ini tolongggggg,Negative,Negative
kode verifikasi no HP lama/gk ada...,1,Negative,kode verifikasi no hp lama gk ada,Negative,Negative
"apk apa ini mau daftar aja susahnya minta ampun,sampai bergadang keponakanku hanya untuk buat NPWP dan tetep belum bisa ,lapor cs pun gak ada kebanyakan nipurakyat nih sampai pelayanan sejelek ini aja gak ke urus.",1,Negative,apk apa ini mau daftar aja susahnya minta ampun sampai bergadang keponakanku hanya untuk buat npwp dan tetep belum bisa lapor cs pun gak ada kebanyakan nipurakyat nih sampai pelayanan sejelek ini aja gak ke urus,Negative,Negative
Gimana si... Validasi foto gagal mulu. Notifikasi nya tidak sesuai dgn foto di database. Foto kapan??? Kalo berdasarkan foto KTP ya itu foto udh 20tahun lebih. Mana cocok??? Duit gw yg dipotong buat pajak buat aplikasi kaya gini???,1,Negative,gimana si validasi foto gagal mulu notifikasi nya tidak sesuai dgn foto di database foto kapan kalo berdasarkan foto ktp ya itu foto udh 20tahun lebih mana cocok duit gw yg dipotong buat pajak buat aplikasi kaya gini,Negative,Negative
"aplikasi BUSUK, mau daftar pajak aja mengisi kontak wajib pajak padahal email dan no hp sudah di isi dan di verifikasi dengan benar, tombol lanjut malah ga aktif atau muncul (gabisa di klik) jadi stuck. hidup di negara KORUP ya gini",1,Negative,aplikasi busuk mau daftar pajak aja mengisi kontak wajib pajak padahal email dan no hp sudah di isi dan di verifikasi dengan benar tombol lanjut malah ga aktif atau muncul gabisa di klik jadi stuck hidup di negara korup ya gini,Negative,Negative
pemerintah kalo bikin aplikasi ga jelas semua suka di persulit,1,Negative,pemerintah kalo bikin aplikasi ga jelas semua suka di persulit,Negative,Negative
aplikasi paling sulit sedunia setiap segala fitur selalu ada aja gendala. padahal aplikasi wajib pajak Indonesia lo ferivikasi wajah pun semalam gagal terus,1,Negative,aplikasi paling sulit sedunia setiap segala fitur selalu ada aja gendala padahal aplikasi wajib pajak indonesia lo ferivikasi wajah pun semalam gagal terus,Negative,Negative
aplikasi sampah.. semua yang di kelola pemerintah gak jelas,1,Negative,aplikasi sampah semua yang di kelola pemerintah gak jelas,Negative,Negative
"gajelas banget ini aplikasi masa kita mau buat laporan STP ga bisa²,stuck di log in aja.mana kalo telat kena denda,giliran mau dikerjain aplikasi nya ngajak gelud,hadehhh",1,Negative,gajelas banget ini aplikasi masa kita mau buat laporan stp ga bisa stuck di log in aja mana kalo telat kena denda giliran mau dikerjain aplikasi nya ngajak gelud hadehhh,Negative,Negative
"aplikasi g guna g fungsi, masak kita yang bayar kita juga yang lapor trus kalian ngapain ... ntr ujung2nya 100T korup",1,Negative,aplikasi g guna g fungsi masak kita yang bayar kita juga yang lapor trus kalian ngapain ntr ujung2nya 100t korup,Negative,Negative
aplikasi bejatt...,1,Negative,aplikasi bejatt,Negative,Negative
aplikasi tidak ramah lemot,1,Negative,aplikasi tidak ramah lemot,Negative,Negative
masih sangat baik sih saya kasih bintang 1. aplikasi ga guna nyusahin yang kaya gini sekelas pemerintahan aplikasinya?? kurang modal apa? verifikasi susah bener dah menyerah ga usah lapor kalau bgini ngabisin waktu,1,Negative,masih sangat baik sih saya kasih bintang 1 aplikasi ga guna nyusahin yang kaya gini sekelas pemerintahan aplikasinya kurang modal apa verifikasi susah bener dah menyerah ga usah lapor kalau bgini ngabisin waktu,Negative,Negative
"buruk, ngambil duit rakyat cepet, aplikasi minus",1,Negative,buruk ngambil duit rakyat cepet aplikasi minus,Negative,Negative
"monyet makin ribet aja mau lapor pajak aja, udah tiap bulan dipotong masih kudu lapor lagi.",1,Negative,monyet makin ribet aja mau lapor pajak aja udah tiap bulan dipotong masih kudu lapor lagi,Negative,Negative
aplikasi memusingkan. udah mah kita wajib bayar pajak. mau aktivasi ribet minta ampun. aplikasi yg tadinya buat memudahkan malah bikin pusing.,1,Negative,aplikasi memusingkan udah mah kita wajib bayar pajak mau aktivasi ribet minta ampun aplikasi yg tadinya buat memudahkan malah bikin pusing,Negative,Negative
coretax sangat mempersulit,1,Negative,coretax sangat mempersulit,Negative,Negative
"aplikasi paling ribet yg pernah saya kenal,paling membingungkan sangat perlu perbaikan ,seperti lihat npwp,daftar npwp,sangat tidalk berguna",1,Negative,aplikasi paling ribet yg pernah saya kenal paling membingungkan sangat perlu perbaikan seperti lihat npwp daftar npwp sangat tidalk berguna,Negative,Negative
okee,5,Positive,okee,Positive,Positive
"kita mau bayar pajak, kita keluar uang kita yang repot dan ribet. kalo aplikasinya mudah dan lancar sih mending ya. lah ini apaan dah sampah banget",1,Negative,kita mau bayar pajak kita keluar uang kita yang repot dan ribet kalo aplikasinya mudah dan lancar sih mending ya lah ini apaan dah sampah banget,Negative,Negative
"kocak daftar aja susah bat, server butut",1,Negative,kocak daftar aja susah bat server butut,Negative,Negative
Kata sandi tidak sesuai...pada udh input bener jir...duit gue kepotong pake segala lapor pajak,1,Negative,kata sandi tidak sesuai pada udh input bener jir duit gue kepotong pake segala lapor pajak,Negative,Negative
"tolongg dong di benerin lagii apk nya, banyak banget kendala",1,Negative,tolongg dong di benerin lagii apk nya banyak banget kendala,Negative,Negative
"Aplikasinya sampah, mau apa2 lemootttttt bgt, banyak eror, taik",1,Negative,aplikasinya sampah mau apa2 lemootttttt bgt banyak eror taik,Negative,Negative
oke,5,Positive,oke,Positive,Positive
semua situs pemerinrah pasti kayak gini wifi dan data saya bisa buat buka video 4k life stream buat buka aplikasi dan website pemerintah eror terus bawaannya,1,Negative,semua situs pemerinrah pasti kayak gini wifi dan data saya bisa buat buka video 4k life stream buat buka aplikasi dan website pemerintah eror terus bawaannya,Negative,Negative
apk apa ini lelet bgt,1,Negative,apk apa ini lelet bgt,Negative,Negative
"aplikasi dan web paling jelek, gaa up to date banget. loading lama, ilang mulu, gaa efektif dan efisien banget. plisa dong apus ajaa web kaya gini, yang niat kalo bikin web, yang proper, masa web sekelas kemenkeu kaya gini",1,Negative,aplikasi dan web paling jelek gaa up to date banget loading lama ilang mulu gaa efektif dan efisien banget plisa dong apus ajaa web kaya gini yang niat kalo bikin web yang proper masa web sekelas kemenkeu kaya gini,Negative,Negative
"ini mau mempermudah masyarakat apa mempersulit sih ,kaya asal2 lan aja ya kerjanya",1,Negative,ini mau mempermudah masyarakat apa mempersulit sih kaya asal2 lan aja ya kerjanya,Negative,Negative
"aplikasi nya kayaknya developernya pemula . data sudah benar tapi masih gagal login , bikin aplikasi niatnya buat mempermudah ini malah mempersulit",1,Negative,aplikasi nya kayaknya developernya pemula data sudah benar tapi masih gagal login bikin aplikasi niatnya buat mempermudah ini malah mempersulit,Negative,Negative
masuk lewat web di alihin ke apk di apk suruh masuk lagi beralih ke web gitu aja terus sampe anis gak pindah parpol,1,Negative,masuk lewat web di alihin ke apk di apk suruh masuk lagi beralih ke web gitu aja terus sampe anis gak pindah parpol,Negative,Negative
berapa kira2 dana yg dihabiskan untuk membuat dan untuk maintenance apk ini ya?Apk nya kok kayak gak niat banget. Malu2in,1,Negative,berapa kira2 dana yg dihabiskan untuk membuat dan untuk maintenance apk ini ya apk nya kok kayak gak niat banget malu2in,Negative,Negative
"Kesel banget, mw daftar aja kek apaan sih. Mana makan pulsa, tolong lah ya kan diperbaiki, kok bisa tombol lanjutannya gak bisa dipencet padahal sinyal bagus aja. Apa gunanya ni apk kalo ujung2nya mw daftar mesti ke kantor pajak jga, hadeh",1,Negative,kesel banget mw daftar aja kek apaan sih mana makan pulsa tolong lah ya kan diperbaiki kok bisa tombol lanjutannya gak bisa dipencet padahal sinyal bagus aja apa gunanya ni apk kalo ujung2nya mw daftar mesti ke kantor pajak jga hadeh,Negative,Negative
