ï»¿text,rating,sentiment,clean_text
dulu djp nggak sesulit saat ini ruwet dan susah tolong dong buat aplikasi yg mudah sudah disuruh laporan tapi aplikasi nggak jelas gini. terimakasih sl,1,Negative,djp sulit ruwet susah tolong aplikasi mudah suruh lapor aplikasi gin terimakasih sl
"mau swabfoto gagal terus sudah 3 hari, gak diperbaiki perbaiki",2,Negative,swabfoto gagal gak baik baik
apk pemerintah the best bintang satu,1,Negative,apk perintah the best bintang
"gak ribet tapi udah berapa kali coba tetep aja gak bisa karena Address detail,padahal udah sesuai sama alamat rumah ,bikin emosi aja ,perbaikin ni ð",1,Negative,gak ribet udah kali coba tetep gak address detailpadahal udah sesuai alamat rumah bikin emosi perbaikin ni
apk eror terus login susah nya setengah mati,1,Negative,apk eror login susah nya mati
"apakah ini termasuk anggaran 1,3T itu?",1,Negative,anggar t
laporan SPT CORETAX SUSAHH PISANN LAHH,1,Negative,lapor spt coretax susahh pisann lahh
"masih mending pake aplikasi djp yg dulu, mau login error, aplikasi sampah",1,Negative,mending pake aplikasi djp login error aplikasi sampah
aplikasi ampas,1,Negative,aplikasi ampas
Perlu dibenahi â¢â¢â¢,2,Negative,benah
"aplikasi tolol, ð¶ ribet gedeg bet dah kaga jelas",1,Negative,aplikasi tolol ribet gedeg bet dah kaga
susah login padahal sepet terdaftar npwp cuma lupa sandi tetap aja gak membantu lupa sandinya mohon tuk di perbaiki lagi apknya min,1,Negative,susah login sepet daftar npwp lupa sandi gak bantu lupa sandi mohon tuk baik apknya min
buruk lemot. bgus app yg dlu.,1,Negative,buruk lot bgus app dlu
verifikasi kode nomer susah banget gak masuk masuk tolong dong di perbaiki biar gak nyusahin hadeh.,2,Negative,verifikasi kode nomer susah banget gak masuk masuk tolong baik biar gak nyusahin hadeh
niat ngurus pajak dipersulit.,1,Negative,niat ngurus pajak sulit
"pengisian pendaftarannya dipersulit,susah,padahal sudh benar data yang dimasukan tapi malah ga valid katanyaa,,bikin pusing",1,Negative,isi daftar dipersulitsusahpadahal sudh data masuk valid katanyaabikin pusing
"Sudah membuat berkali kali gagal. Bayangkan, tadi ke kantor pajak nya aja ga tau. Tolong lah kasih pemahaman pada masyarakat. Padahal td sudah menyerahkan ke kantor pajak tetap tidak bisa membuat NPWP",1,Negative,kali kali gagal bayang kantor pajak nya tau tolong kasih paham masyarakat td serah kantor pajak npwp
"aplikasi masih banyak bug, terutama untuk otp no telpon tidak muncul muncul",1,Negative,aplikasi bug otp no telpon muncul muncul
tidak dapat verif lgsg force close,1,Negative,verif lgsg force close
tidak bisa masuk pada aplikasi padahal sudah verifikasi wajah dan data email serta telepon sudah di konfirmasi benar oleh aplikasi. saya jadi kuatir jangan sampai ini aplikasi spam pengambil data wajib pajak,1,Negative,masuk aplikasi verifikasi wajah data email telepon konfirmasi aplikasi kuatir aplikasi spam ambil data wajib pajak
mau masuk error trooosss,1,Negative,masuk error trooosss
"aplikasi sampah, verifikasi image berulang-ulang gagal terus, buang2 anggaran aja,",1,Negative,aplikasi sampah verifikasi image berulangulang gagal buang anggar
sangat membatu para karyawan untuk simpanan di masa pra kerja,5,Positive,batu karyawan simpan pra kerja
aplikasi aneh sering eror,1,Negative,aplikasi aneh eror
banyakan di tilep biaya r&d nya ini aplikasi ð¤£ gak usah saya jelasin dah ya kenapa saya tulis begini yang lain udah banyak jelasin di bawah,1,Negative,banyak tilep biaya rd nya aplikasi gak jelasin dah ya tulis udah jelasin
aplikasi pemerintah ngga ada yang beres,1,Negative,aplikasi perintah ngga beres
"fitur-fitur ga guna, nyusahin aja",1,Negative,fiturfitur nyusahin
MAU LAPOR PAJAK AJA SUSAH BENER JELEK PELAYANAN NYA,1,Negative,lapor pajak susah bener jelek layan nya
apk gk jelas bikin ribet,1,Negative,apk bikin ribet
banyak bug nya,1,Negative,bug nya
"aplikasinya sampah gak bisa buat login padahal sudh di verifikasi, sering ulang kata sandi via email yg terdaftar malah keterangan emailnya tidak valid, di ubah ke nomer, malah gak dpt notifikasi nya..",1,Negative,aplikasi sampah gak login sudh verifikasi ulang sandi via email daftar terang email valid ubah nomer gak dpt notifikasi nya
Nyieun npwp ge rudet anyingg,1,Negative,nyieun npwp ge rudet anyingg
"susah banget masuknya, sudah masuk sudah di isi bingung mau di klik di selesaikannya, malah muter2. gampang pakai e-Filling dari pada coretak",2,Negative,susah banget masuk masuk isi bingung klik selesai muter gampang pakai efilling coretak
kembang terus sistem ya agar lebih lancar dan baik terima kasih atas kemudahan ya,5,Positive,kembang sistem ya lancar terima kasih mudah ya
saya udah dipandu terimakasih,5,Positive,udah pandu terimakasih
buruk di persulit gak mempermudah banget,1,Negative,buruk sulit gak mudah banget
Hadeuh..... Tolong Aplikasinya bikin yang bener lah biar bisa digunakan,1,Negative,hadeuh tolong aplikasi bikin bener biar
Sampah !,1,Negative,sampah
"aplikasi tidak sangat membingungkan,",1,Negative,aplikasi bingung
"sekelas aplikasi negara seperti ini?? verifikasi email dan no hp tidak ada dikirim , katanya mempermudah tapi kok mempersulit?",1,Negative,kelas aplikasi negara verifikasi email no hp kirim mudah sulit
mantap,5,Positive,mantap
apk setengah mateng,1,Negative,apk mateng
mantap,5,Positive,mantap
"Mau aktivasi akun, disuruh ambil foto, udah beres katanya foto tidak sesuai dengan data base, padahal gak pernah oplas, gak pake kacamata atau aksesoris apapun juga, ini gimana sih?",1,Negative,aktivasi akun suruh ambil foto udah beres foto sesuai data base gak oplas gak pake kacamata aksesoris apa gimana sih
"tidak bisa merubah data no telpon dll di aflikasi ini, mau download kartu electronic jg tdk ada, masih bagusan aplikasi lama",1,Negative,rubah data no telpon dll aflikasi download kartu electronic jg tdk bagus aplikasi
"tidak bisa login, mau ganti kata sandi tidak bisa. makin parah aplikasi pemerintah",1,Negative,login ganti sandi parah aplikasi perintah
pengen login susah banget? gak bisa terus di web gak bisa di aplikasi gak bisa apa tujuannya dong ini aplikasi dibuat?,2,Negative,ken login susah banget gak web gak aplikasi gak tuju aplikasi
mantap,5,Positive,mantap
apk tai,1,Negative,apk tai
lebih mudah,5,Positive,mudah
permintaan login selalu gagal tidak tau masalahnya apa,1,Negative,minta login gagal tau
lumayan bagus dan mudah,5,Positive,lumayan bagus mudah
"ribet bangetttt , saya yg anak muda aja kesusahan banget buat buka dan pengen tahu nomer NPWP nya aja ,udah bolak balik aktivasi masih susah login. apalagi yg ga melek gadget. ya ampun bikin emosi ajaaa",1,Negative,ribet bangetttt anak muda susah banget buka ken nomer npwp nya udah bolak aktivasi susah login melek gadget ya ampun bikin emosi ajaaa
"aplikasi bagussss bangeytt woooiiii bikin aplikasi yang benerrrrr, pajak kan duitnye banyakkk !! apaansi ngirim kode OTP aje ga kekirim kirim kocakkkk malu sekelas punya negara begini, kerja lu pada ngapain sii",1,Negative,aplikasi bagussss bangeytt woooiiii bikin aplikasi benerrrrr pajak duitnye banyakkk apaansi ngirim kode otp aje kirim kirim kocakkkk malu kelas negara kerja lu ngapain sii
"muterÂ² suweee, Jane ISO PO Ra gae aplikasi",3,Neutral,muter suweee jane iso po ra gae aplikasi
baik sekali terimakasih,5,Positive,terimakasih
Jelek banget sampe gak lapor spt. bomat deh. login aja gak bisa,1,Negative,jelek banget sampe gak lapor spt bomat deh login gak
"Aplikasi apaan ini, banyak bug bjir, udah ngisi form berkali kali masih gagal terus, terus minta bantuan di telpon malah di tutup",1,Negative,aplikasi bug bjir udah ngisi form kali kali gagal bantu telpon tutup
apk eror terus gk bisa login,1,Negative,apk eror login
waw mantap,5,Positive,waw mantap
"padahal sudah benar detail alamatnya, tapi kok error terus tolong diperbaiki biar bisa registrasi ð",1,Negative,detail alamat error tolong baik biar registrasi
cepat dan lengkap,5,Positive,cepat lengkap
it's the best,5,Positive,its the best
"parah, eror terus. mau log in aja susah. ini niat gasih buat apk",1,Negative,parah eror log in susah niat gasih apk
"aplikasi membingungkan dan bikin pusing orang. sudah berjam2 tidak bisa dipakai.. padahal sudah masukin data, sandi, dengan benar tapi selalu di ulang2 terus. udah verikasi swafoto trs suruh ganti sandi tapi selalu stuck disitu trs.. ini mah bukan mempermudah tp bikin mumet. lapor pajak aja sampe repot begini.",1,Negative,aplikasi bingung bikin pusing orang jam pakai masukin data sandi ulang udah verikasi swafoto trs suruh ganti sandi stuck situ trs mah mudah tp bikin mumet lapor pajak sampe repot
sangat mendukung,5,Positive,dukung
"kenapa nomor NPWP gak bisa masuk, padahal baru kemarin ke kantor pajak reset password dan email.. udah bener.. eh malah tidak terdaftar katanya.. hahhh kok bisa, sandinya dan email udh bener, difoto malah",1,Negative,nomor npwp gak masuk kemarin kantor pajak reset password email udah bener eh daftar hahhh sandi email udh bener foto
masuk aplikasi bolak balik verifikasi tapi ga puas2 kalian gimna mau bayar pajak login apk ribet x,1,Negative,masuk aplikasi bolak verifikasi puas gimna bayar pajak login apk ribet x
Siipp sudah lapor,5,Positive,siipp lapor
apk nya terlalu rumit sih untuk daptar nya susah amat apk nya terlalu nyedot pulsa emg bener2,1,Negative,apk nya rumit sih daptar nya susah apk nya nyedot pulsa emg bener
ok,4,Positive,ok
bagus,5,Positive,bagus
pulsa habis otp ga nyampe hadeuh,1,Negative,pulsa habis otp nyampe hadeuh
update mulu,1,Negative,update mulu
"susah masuk tinggal verifikasi jadi ribet amat pake koretak padahal email no hp sama,, gimanamau laporan",1,Negative,susah masuk tinggal verifikasi ribet pake koretak email no hp gimanamau lapor
suuulit,5,Positive,suuulit
pajak ketinggian,1,Negative,pajak tinggi
RIBET,1,Negative,ribet
habis pembaruan kok Sekarang sulit sekali ya login di djp....bad aplikasinya,1,Negative,habis baru sulit ya login djpbad aplikasi
bagus,5,Positive,bagus
ga fungsi,1,Negative,fungsi
aplikasi paling buruk,1,Negative,aplikasi buruk
mantap,5,Positive,mantap
good,5,Positive,good
saya kasi tiga dulu karena blom tau aplikaainya ini mempermudah atau mempersulit,3,Neutral,kasi blom tau aplikaainya mudah sulit
aktivis akun aja susahnya minta ampuuuuuuuunnnnnn,1,Negative,aktivis akun susah ampuuuuuuuunnnnnn
ok,5,Positive,ok
"aplikasi buruk banget, gagal terus input data",1,Negative,aplikasi buruk banget gagal input data
sungguh sangat buruk ini aplikasi. mau daftar juga susah banget.. padahal mau baik mau laporan pendapat.,1,Negative,sungguh buruk aplikasi daftar susah banget lapor dapat
"mau daftar aja di persulit banget, dateng ke kantor pajak disuruh pulang buat dulu di online giliran buat online malah di persulit padahal mau bayar ke negara susah amat dah aneh",1,Negative,daftar sulit banget dateng kantor pajak suruh pulang online gilir online sulit bayar negara susah dah aneh
"aplikasi boomers sistem aneh, mau verif akun aja lama upgrade noh apk lu kocak",1,Negative,aplikasi boomers sistem aneh verif akun upgrade noh apk lu kocak
mau lapor spt malah ribet .... ga guna,1,Negative,lapor spt ribet
"aplikasi & web nya sama aja ga jelas, mau ganti sandi ngga bisa, ngasih link ga jelas link nya apa.",1,Negative,aplikasi web nya ganti sandi ngga ngasih link link nya
sangat membantu aplikasi ini,5,Positive,bantu aplikasi
Sy sudah berusaha jadi WP terbaik..namun aplikasi yg baru ini begitu ribet sekali...susah login...tdk bisa masuk ...bahkan website cortex Pajak SPT tahunan PPh tdk bisa masuk... setelah lakukan perubahan data kemarin..malah di April sama sekali susah sinkronisasi mana lagi karena WP harus lapor lagi padahal sudah terbayar dan terpotong...kita rakyat dipersulit...para pegawai santai terima tunjangan dan gaji...waktu kami terpakai terus urusan ini...data internet dan wifi tdk gratisan,3,Neutral,sy usaha wp terbaiknamun aplikasi ribet sekalisusah logintdk masuk website cortex pajak spt tahun pph tdk masuk laku ubah data kemarinmalah april susah sinkronisasi wp lapor bayar terpotongkita rakyat dipersulitpara pegawai santai terima tunjang gajiwaktu pakai urus inidata internet wifi tdk gratis
"aplikasi bikin pusing, data sudah dimasukkan dengan benar, verifikasi muka, email masih saja kesalahan. membagongkan",1,Negative,aplikasi bikin pusing data masuk verifikasi muka email salah bagong
aplikasi macam apa ini cooegg gajelas banget mau login aja susah mana makan pulsa pula NYESEL JADI WNI,1,Negative,aplikasi cooegg gajelas banget login susah makan pulsa nyesel wni
ga paham,2,Negative,paham
aplikasi jelek,1,Negative,aplikasi jelek
"Aplikasinya masih banyak bug. Tidak bisa mengubah informasi akun seperti nomor telepon. Setelah berhasil login sekali di Coretax, saat logout dan coba login lagi malah tidak bisa masuk. Mohon diperbaiki, karena sangat mengganggu. Selain itu, tidak ada notifikasi error yang jelas, jadi pengguna bingung harus melakukan apa. Untuk aplikasi yang berkaitan dengan pajak, seharusnya sistem lebih stabil dan dapat diandalkan.",1,Negative,aplikasi bug ubah informasi akun nomor telepon hasil login coretax logout coba login masuk mohon baik ganggu notifikasi error guna bingung aplikasi kait pajak sistem stabil andal
gak guna,1,Negative,gak
"ga modal, apk pajak masak mau verif otp tlpn aja kita yg bayar pulsa nya. ini apk pemetintah loh, kita mau bayar pajak aja masih kena palakin",1,Negative,modal apk pajak masak verif otp tlpn bayar pulsa nya apk tin loh bayar pajak kena palakin
"duuh susah amat login, udah bener semua, error melulu, udah fiturnya tidak lengkap, untuk login oun susah. tidak berfaedah dan tidak membantu sama sekali.",1,Negative,duuh susah login udah bener error melulu udah fiturnya lengkap login oun susah faedah bantu
tidak bisa di buka,1,Negative,buka
Kacauuu... kode Verifikasi dari SMS gak masuk masuk,1,Negative,kacauuu kode verifikasi sms gak masuk masuk
aplikasi sampahhh,1,Negative,aplikasi sampahhh
"aplikasi gak jelas, mau daftar akun gagal terus",1,Negative,aplikasi gak daftar akun gagal
wajib pajak harus dibayar,5,Positive,wajib pajak bayar
"downloadnya mentok 99 persen aja nih, baru mau download aja udah masalah gimana di dalamnya ya",1,Negative,downloadnya mentok persen nih download udah gimana dalam ya
aplikasi tidak bermutu,1,Negative,aplikasi mutu
"gagal terus mau login, eror terus ð­ð­",1,Negative,gagal login eror
"aplikasi sampah, mau daftar npwp aja sulit padahal data sudah sesuai",1,Negative,aplikasi sampah daftar npwp sulit data sesuai
"GK jelas, sdh isi semua data hasil akhirnya gagal terus. Auto uninstall",1,Negative,sdh isi data hasil gagal auto uninstall
aplikasi payah,1,Negative,aplikasi payah
bagus,5,Positive,bagus
ini apk susah sekali berulang ulang verifikasi tetep ngga bisa,1,Negative,apk susah ulang ulang verifikasi tetep ngga
"buset dah masih menggunakan teknik jadul, verifikasi lewat SMS yang dibebankan kepada penerima. padahal bisa lewat wa yang gratis",1,Negative,buset dah teknik jadul verifikasi sms beban terima wa gratis
"setiap kali melakukan percobaan aktivasi muncul notif seperti ini ""We can not verify your identity! (GenericError)""",1,Negative,kali coba aktivasi muncul notif we can not verify your identity genericerror
gak jelas.. mau daftar NPWP online pun gabisa. ribet bgt nii.. norak bgt ni DJP.. gak jelas lu pada kerjanya.,1,Negative,gak daftar npwp online gabisa ribet banget nii norak banget ni djp gak lu kerja
APLIKASI BAPUK!!!! NARIK DUIT PAJAK AJA CEPAT APLIKASI GA BERFUNGSI GA DI BENERIN!!!! BLOKKK,1,Negative,aplikasi bapuk narik duit pajak cepat aplikasi fungsi benerin blokkk
"Apk apa ini Gk jelas betul iklannya cuma 5 menti udah bisa buat NPWP pas mau daftar baru lembaran kedua udah di persulit kita udah verify email & no telpon udah masukin kode otp juga pas mau lanjut Gk bisa gitu kok katanya mempermudah, kita disuruh wajib pajak buat NPWP dipersulit pajak dibayar dikorupsi pula nanti Gk bayar pajak kita pula disalahkan dianggap ilegal kocak memang aturan negara ini",1,Negative,apk iklan menti udah npwp pas daftar lembar udah sulit udah verify email no telpon udah masukin kode otp pas gitu mudah suruh wajib pajak npwp sulit pajak bayar korupsi bayar pajak salah anggap ilegal kocak atur negara
diperbaikin dong pelayanannya,1,Negative,diperbaikin layan
ribet,1,Negative,ribet
"parah sih apknya, blunder bener di suruh download perkara mau ganti sandi di coretax katanya nih tampilan awal nya ini apk ga usah login bisa ganti sandi ternyata tampilan awalnya ga ada dong yang buat ganti sandi ekwkw lawak anjr lah ribet banget apaÂ² sekarang harus pake NPWN giliran mau urus ga susah eror terus dah gitu bisa sih ganti sandi coretax tapi lewat Google tapi apakah anda tau?? yaps link nya di kirim ke sms dan linkya gak bisa di klik kek mana??? di salin ga bisa",2,Negative,parah sih apknya blunder bener suruh download perkara ganti sandi coretax nih tampil nya apk login ganti sandi tampil ganti sandi ekwkw lawak anjr ribet banget pake npwn gilir urus susah eror dah gitu sih ganti sandi coretax google tau yaps link nya kirim sms linkya gak klik kek salin
"Udah ya temenÂ², jangan daftar online, percuma habis2 in pulsa kalian doang, udah muak banget dengan pajakÂ² an",1,Negative,udah ya temen daftar online habis in pulsa doang udah muak banget pajak an
"email bener pasword bener gagal melulu, menu gak lengkap. perbaiki la kl niat mau buat APK yang dapat membantu orang lain.",1,Negative,email bener pasword bener gagal melulu menu gak lengkap baik la kl niat apk bantu orang
niat bikin aplikasi ga si jink?,1,Negative,niat bikin aplikasi si jink
kortek gak jelas,1,Negative,kortek gak
"Kita yg bayar pajak, kita juga yg di repotin ,terus kerjaan org pajak apaan? .... mending gampang bikin laporannyaððð",1,Negative,bayar pajak repotin kerja org pajak mending gampang bikin lapor
Aplikasi bapuk login susah,1,Negative,aplikasi bapuk login susah
"kirain download aplikasi bakal lebih mudah verifikasi nya, ga aplikasinya ga websitenya sama sama payah.",1,Negative,kirain download aplikasi mudah verifikasi nya aplikasi websitenya payah
"Gajelas. Mau login dibawa ke browser. Suda login di browser malah error:400. Minta orang pribadi lapor SPT, malah dipersulit, T4IK. Pas udah login haduh gak ada isinya yg bisa diapaÂ²in, SPT malah ""We'll back soon"". Memang t4ik",1,Negative,gajelas login bawa browser suda login browser error orang pribadi lapor spt sulit tik pas udah login haduh gak isi diapain spt well back soon tik
nyusahi aje loe thong..,1,Negative,nyusahi aje loe thong
"sudah ikutin semua arahan tetep aja tidak bisa aktifasi ini aplikasi... bagaimana sih ini, tolongggggg",1,Negative,ikutin arah tetep aktifasi aplikasi sih tolongggggg
kode verifikasi no HP lama/gk ada...,1,Negative,kode verifikasi no hp lamagk
"apk apa ini mau daftar aja susahnya minta ampun,sampai bergadang keponakanku hanya untuk buat NPWP dan tetep belum bisa ,lapor cs pun gak ada kebanyakan nipurakyat nih sampai pelayanan sejelek ini aja gak ke urus.",1,Negative,apk daftar susah ampunsampai gadang keponakan npwp tetep lapor cs gak banyak nipurakyat nih layan jelek gak urus
Gimana si... Validasi foto gagal mulu. Notifikasi nya tidak sesuai dgn foto di database. Foto kapan??? Kalo berdasarkan foto KTP ya itu foto udh 20tahun lebih. Mana cocok??? Duit gw yg dipotong buat pajak buat aplikasi kaya gini???,1,Negative,gimana si validasi foto gagal mulu notifikasi nya sesuai dgn foto database foto kalo dasar foto ktp ya foto udh cocok duit gw potong pajak aplikasi kaya gin
"aplikasi BUSUK, mau daftar pajak aja mengisi kontak wajib pajak padahal email dan no hp sudah di isi dan di verifikasi dengan benar, tombol lanjut malah ga aktif atau muncul (gabisa di klik) jadi stuck. hidup di negara KORUP ya gini",1,Negative,aplikasi busuk daftar pajak isi kontak wajib pajak email no hp isi verifikasi tombol aktif muncul gabisa klik stuck hidup negara korup ya gin
pemerintah kalo bikin aplikasi ga jelas semua suka di persulit,1,Negative,perintah kalo bikin aplikasi suka sulit
aplikasi paling sulit sedunia setiap segala fitur selalu ada aja gendala. padahal aplikasi wajib pajak Indonesia lo ferivikasi wajah pun semalam gagal terus,1,Negative,aplikasi sulit dunia fitur gendala aplikasi wajib pajak indonesia lo ferivikasi wajah malam gagal
aplikasi sampah.. semua yang di kelola pemerintah gak jelas,1,Negative,aplikasi sampah kelola perintah gak
"gajelas banget ini aplikasi masa kita mau buat laporan STP ga bisaÂ²,stuck di log in aja.mana kalo telat kena denda,giliran mau dikerjain aplikasi nya ngajak gelud,hadehhh",1,Negative,gajelas banget aplikasi lapor stp bisastuck log in ajamana kalo telat kena dendagiliran dikerjain aplikasi nya ngajak geludhadehhh
"aplikasi g guna g fungsi, masak kita yang bayar kita juga yang lapor trus kalian ngapain ... ntr ujung2nya 100T korup",1,Negative,aplikasi g g fungsi masak bayar lapor trus ngapain ntr ujung t korup
aplikasi bejatt...,1,Negative,aplikasi bejatt
aplikasi tidak ramah lemot,1,Negative,aplikasi ramah lot
masih sangat baik sih saya kasih bintang 1. aplikasi ga guna nyusahin yang kaya gini sekelas pemerintahan aplikasinya?? kurang modal apa? verifikasi susah bener dah menyerah ga usah lapor kalau bgini ngabisin waktu,1,Negative,sih kasih bintang aplikasi nyusahin kaya gin kelas perintah aplikasi modal verifikasi susah bener dah serah lapor bgini ngabisin
"buruk, ngambil duit rakyat cepet, aplikasi minus",1,Negative,buruk ngambil duit rakyat cepet aplikasi minus
"monyet makin ribet aja mau lapor pajak aja, udah tiap bulan dipotong masih kudu lapor lagi.",1,Negative,monyet ribet lapor pajak udah potong kudu lapor
aplikasi memusingkan. udah mah kita wajib bayar pajak. mau aktivasi ribet minta ampun. aplikasi yg tadinya buat memudahkan malah bikin pusing.,1,Negative,aplikasi pusing udah mah wajib bayar pajak aktivasi ribet ampun aplikasi mudah bikin pusing
coretax sangat mempersulit,1,Negative,coretax sulit
"aplikasi paling ribet yg pernah saya kenal,paling membingungkan sangat perlu perbaikan ,seperti lihat npwp,daftar npwp,sangat tidalk berguna",1,Negative,aplikasi ribet kenalpaling bingung baik lihat npwpdaftar npwpsangat tidalk guna
okee,5,Positive,okee
"kita mau bayar pajak, kita keluar uang kita yang repot dan ribet. kalo aplikasinya mudah dan lancar sih mending ya. lah ini apaan dah sampah banget",1,Negative,bayar pajak uang repot ribet kalo aplikasi mudah lancar sih mending ya dah sampah banget
"kocak daftar aja susah bat, server butut",1,Negative,kocak daftar susah bat server butut
Kata sandi tidak sesuai...pada udh input bener jir...duit gue kepotong pake segala lapor pajak,1,Negative,sandi sesuaipada udh input bener jirduit gue potong pake lapor pajak
"tolongg dong di benerin lagii apk nya, banyak banget kendala",1,Negative,tolongg benerin lagi apk nya banget kendala
"Aplikasinya sampah, mau apa2 lemootttttt bgt, banyak eror, taik",1,Negative,aplikasi sampah lemootttttt banget eror taik
oke,5,Positive,oke
semua situs pemerinrah pasti kayak gini wifi dan data saya bisa buat buka video 4k life stream buat buka aplikasi dan website pemerintah eror terus bawaannya,1,Negative,situs pemerinrah kayak gin wifi data buka video k life stream buka aplikasi website perintah eror bawa
apk apa ini lelet bgt,1,Negative,apk lelet banget
"aplikasi dan web paling jelek, gaa up to date banget. loading lama, ilang mulu, gaa efektif dan efisien banget. plisa dong apus ajaa web kaya gini, yang niat kalo bikin web, yang proper, masa web sekelas kemenkeu kaya gini",1,Negative,aplikasi web jelek gaa up to date banget loading ilang mulu gaa efektif efisien banget plisa apus ajaa web kaya gin niat kalo bikin web proper web kelas kemenkeu kaya gin
"ini mau mempermudah masyarakat apa mempersulit sih ,kaya asal2 lan aja ya kerjanya",1,Negative,mudah masyarakat sulit sih kaya lan ya kerja
"aplikasi nya kayaknya developernya pemula . data sudah benar tapi masih gagal login , bikin aplikasi niatnya buat mempermudah ini malah mempersulit",1,Negative,aplikasi nya kayak developer mula data gagal login bikin aplikasi niat mudah sulit
masuk lewat web di alihin ke apk di apk suruh masuk lagi beralih ke web gitu aja terus sampe anis gak pindah parpol,1,Negative,masuk web alihin apk apk suruh masuk alih web gitu sampe anis gak pindah parpol
berapa kira2 dana yg dihabiskan untuk membuat dan untuk maintenance apk ini ya?Apk nya kok kayak gak niat banget. Malu2in,1,Negative,dana habis maintenance apk yaapk nya kayak gak niat banget maluin
"Kesel banget, mw daftar aja kek apaan sih. Mana makan pulsa, tolong lah ya kan diperbaiki, kok bisa tombol lanjutannya gak bisa dipencet padahal sinyal bagus aja. Apa gunanya ni apk kalo ujung2nya mw daftar mesti ke kantor pajak jga, hadeh",1,Negative,kesel banget mw daftar kek sih makan pulsa tolong ya baik tombol lanjut gak pencet sinyal bagus guna ni apk kalo ujung mw daftar mesti kantor pajak jga hadeh
verifikasinya sulitt nanti kalau sudah bisa kuedit ððð»,1,Negative,verifikasi sulitt edit
"stuck di halaman login doang, dan itupun blank page. sangat sangat minus",1,Negative,stuck halaman login doang itu blank page minus
Aplikasi kentang gak bisa dipakeee,1,Negative,aplikasi kentang gak dipakeee
