text;rating;sentiment
wajib pajak harus dibayar;5;Positive
downloadnya mentok 99 persen aja nih, baru mau download aja udah masalah gimana di dalamnya ya;1;Negative
aplikasi tidak bermutu;1;Negative
gagal terus mau login, eror terus 😭😭;1;Negative
aplikasi sampah, mau daftar npwp aja sulit padahal data sudah sesuai;1;Negative
GK jelas, sdh isi semua data hasil akhirnya gagal terus. Auto uninstall;1;Negative
aplikasi payah;1;Negative
bagus;5;Positive
ini apk susah sekali berulang ulang verifikasi tetep ngga bisa;1;Negative
buset dah masih menggunakan teknik jadul, verifikasi lewat SMS yang dibebankan kepada penerima. padahal bisa lewat wa yang gratis;1;Negative
"setiap kali melakukan percobaan aktivasi muncul notif seperti ini ""We can not verify your identity! (GenericError)""";1;Negative
gak jelas.. mau daftar NPWP online pun gabisa. ribet bgt nii.. norak bgt ni DJP.. gak jelas lu pada kerjanya.;1;Negative
APLIKASI BAPUK!!!! NARIK DUIT PAJAK AJA CEPAT APLIKASI GA BERFUNGSI GA DI BENERIN!!!! BLOKKK;1;Negative
Apk apa ini Gk jelas betul iklannya cuma 5 menti udah bisa buat NPWP pas mau daftar baru lembaran kedua udah di persulit kita udah verify email & no telpon udah masukin kode otp juga pas mau lanjut Gk bisa gitu kok katanya mempermudah, kita disuruh wajib pajak buat NPWP dipersulit pajak dibayar dikorupsi pula nanti Gk bayar pajak kita pula disalahkan dianggap ilegal kocak memang aturan negara ini;1;Negative
diperbaikin dong pelayanannya;1;Negative
ribet;1;Negative
parah sih apknya, blunder bener di suruh download perkara mau ganti sandi di coretax katanya nih tampilan awal nya ini apk ga usah login bisa ganti sandi ternyata tampilan awalnya ga ada dong yang buat ganti sandi ekwkw lawak anjr lah ribet banget apa² sekarang harus pake NPWN giliran mau urus ga susah eror terus dah gitu bisa sih ganti sandi coretax tapi lewat Google tapi apakah anda tau?? yaps link nya di kirim ke sms dan linkya gak bisa di klik kek mana??? di salin ga bisa;2;Negative
Udah ya temen², jangan daftar online, percuma habis2 in pulsa kalian doang, udah muak banget dengan pajak² an;1;Negative
email bener pasword bener gagal melulu, menu gak lengkap. perbaiki la kl niat mau buat APK yang dapat membantu orang lain.;1;Negative
niat bikin aplikasi ga si jink?;1;Negative
kortek gak jelas;1;Negative
Kita yg bayar pajak, kita juga yg di repotin ,terus kerjaan org pajak apaan? .... mending gampang bikin laporannya😇😇😇;1;Negative
Aplikasi bapuk login susah;1;Negative
kirain download aplikasi bakal lebih mudah verifikasi nya, ga aplikasinya ga websitenya sama sama payah.;1;Negative
"Gajelas. Mau login dibawa ke browser. Suda login di browser malah error:400. Minta orang pribadi lapor SPT, malah dipersulit, T4IK. Pas udah login haduh gak ada isinya yg bisa diapa²in, SPT malah ""We'll back soon"". Memang t4ik";1;Negative
nyusahi aje loe thong..;1;Negative
sudah ikutin semua arahan tetep aja tidak bisa aktifasi ini aplikasi... bagaimana sih ini, tolongggggg;1;Negative
kode verifikasi no HP lama/gk ada...;1;Negative
apk apa ini mau daftar aja susahnya minta ampun,sampai bergadang keponakanku hanya untuk buat NPWP dan tetep belum bisa ,lapor cs pun gak ada kebanyakan nipurakyat nih sampai pelayanan sejelek ini aja gak ke urus.;1;Negative
Gimana si... Validasi foto gagal mulu. Notifikasi nya tidak sesuai dgn foto di database. Foto kapan??? Kalo berdasarkan foto KTP ya itu foto udh 20tahun lebih. Mana cocok??? Duit gw yg dipotong buat pajak buat aplikasi kaya gini???;1;Negative
aplikasi BUSUK, mau daftar pajak aja mengisi kontak wajib pajak padahal email dan no hp sudah di isi dan di verifikasi dengan benar, tombol lanjut malah ga aktif atau muncul (gabisa di klik) jadi stuck. hidup di negara KORUP ya gini;1;Negative
pemerintah kalo bikin aplikasi ga jelas semua suka di persulit;1;Negative
aplikasi paling sulit sedunia setiap segala fitur selalu ada aja gendala. padahal aplikasi wajib pajak Indonesia lo ferivikasi wajah pun semalam gagal terus;1;Negative
aplikasi sampah.. semua yang di kelola pemerintah gak jelas;1;Negative
gajelas banget ini aplikasi masa kita mau buat laporan STP ga bisa²,stuck di log in aja.mana kalo telat kena denda,giliran mau dikerjain aplikasi nya ngajak gelud,hadehhh;1;Negative
aplikasi g guna g fungsi, masak kita yang bayar kita juga yang lapor trus kalian ngapain ... ntr ujung2nya 100T korup;1;Negative
aplikasi bejatt...;1;Negative
aplikasi tidak ramah lemot;1;Negative
masih sangat baik sih saya kasih bintang 1. aplikasi ga guna nyusahin yang kaya gini sekelas pemerintahan aplikasinya?? kurang modal apa? verifikasi susah bener dah menyerah ga usah lapor kalau bgini ngabisin waktu;1;Negative
buruk, ngambil duit rakyat cepet, aplikasi minus;1;Negative
monyet makin ribet aja mau lapor pajak aja, udah tiap bulan dipotong masih kudu lapor lagi.;1;Negative
aplikasi memusingkan. udah mah kita wajib bayar pajak. mau aktivasi ribet minta ampun. aplikasi yg tadinya buat memudahkan malah bikin pusing.;1;Negative
coretax sangat mempersulit;1;Negative
aplikasi paling ribet yg pernah saya kenal,paling membingungkan sangat perlu perbaikan ,seperti lihat npwp,daftar npwp,sangat tidalk berguna;1;Negative
okee;5;Positive
kita mau bayar pajak, kita keluar uang kita yang repot dan ribet. kalo aplikasinya mudah dan lancar sih mending ya. lah ini apaan dah sampah banget;1;Negative
kocak daftar aja susah bat, server butut;1;Negative
Kata sandi tidak sesuai...pada udh input bener jir...duit gue kepotong pake segala lapor pajak;1;Negative
tolongg dong di benerin lagii apk nya, banyak banget kendala;1;Negative
Aplikasinya sampah, mau apa2 lemootttttt bgt, banyak eror, taik;1;Negative
oke;5;Positive
semua situs pemerinrah pasti kayak gini wifi dan data saya bisa buat buka video 4k life stream buat buka aplikasi dan website pemerintah eror terus bawaannya;1;Negative
apk apa ini lelet bgt;1;Negative
aplikasi dan web paling jelek, gaa up to date banget. loading lama, ilang mulu, gaa efektif dan efisien banget. plisa dong apus ajaa web kaya gini, yang niat kalo bikin web, yang proper, masa web sekelas kemenkeu kaya gini;1;Negative
ini mau mempermudah masyarakat apa mempersulit sih ,kaya asal2 lan aja ya kerjanya;1;Negative
aplikasi nya kayaknya developernya pemula . data sudah benar tapi masih gagal login , bikin aplikasi niatnya buat mempermudah ini malah mempersulit;1;Negative
masuk lewat web di alihin ke apk di apk suruh masuk lagi beralih ke web gitu aja terus sampe anis gak pindah parpol;1;Negative
berapa kira2 dana yg dihabiskan untuk membuat dan untuk maintenance apk ini ya?Apk nya kok kayak gak niat banget. Malu2in;1;Negative
Kesel banget, mw daftar aja kek apaan sih. Mana makan pulsa, tolong lah ya kan diperbaiki, kok bisa tombol lanjutannya gak bisa dipencet padahal sinyal bagus aja. Apa gunanya ni apk kalo ujung2nya mw daftar mesti ke kantor pajak jga, hadeh;1;Negative
verifikasinya sulitt nanti kalau sudah bisa kuedit 😀👐🏻;1;Negative
stuck di halaman login doang, dan itupun blank page. sangat sangat minus;1;Negative
Aplikasi kentang gak bisa dipakeee;1;Negative
aplikasi nya buruk mangkin update kok mangkin tolol aplikasi nya bukan mempermudah malah mempersilit;1;Negative
good;5;Positive
Heiii pejabat pajakkk kalian ini kerjanya apa sihh... jemput bola kek bikin aplikasi menyusahkan banget bukannya bikin mudah , Kita yang bayar pajak kita juga yang ribet anehhhh bintang satu supaya nyampai Pak Purbaya sidak turun cek semua pegawai pajak gimana kinerjanya ini amburasutt;1;Negative
web idiot pulsa gw abis 20k cuma buat otp dan gabisa lanjut tombolnya;1;Negative
susah amat masuknya otp HP kagak d kirim kirim;1;Negative
aplikasi sampah, tidak membantu sama sekali.;1;Negative
Sudah diperas dengan pajak, mau lapor pajak juga masih kena pajak SMS. Memang ini aplikasi dan instansinya menyusahkan saja. Mau lapor lewat web, harus login di apk. Mau login di apk, harus konfirmasi lewat laman online lagi. MENYUSAHKAN DAN MENYENGSARAKAN SAJA👎;1;Negative
aplikasi cacat. sudak aktivasi coretax nunggu sms dan email tidak kunjung dikirim gimna mau login coretax?. percuma mau bayar pajak malah dipersulit. kalo dibiarin dikira tidak mau bayar pajak, apk aneh. ingat pemerintah kalian dibayar dari pajak kami ya. kenapa dipersulit;1;Negative
Mau lapor pajak aja susah. Semua data sudah benar tp verifikasi gagal terus.;1;Negative
Kode OTP gak masuk masuk, pulsa juga sudah di isi tetap aja gak masuk. Aplikasi negara itu kenapa gak ada yang becus sih?;1;Negative
aplikasi cacat;1;Negative
bisanya cuma nguras pulsa ga jelas, g bisa registrasi. terus aj ngulang2 smp pulsa abis. bus00x;1;Negative
Jujur makin gk jelas nih apk,,;1;Negative
Aplikasi tolol.. mau login malah masuknya ke reset password trus.. gw jg herman..gw udah bayar pajak lewat perusahaan tp gw jg tetep harus lapor..;1;Negative
kok bundeli bgt sihh. ni bikin aplikasi niat apa ngga?? klo ga ya ga usah bikin aplikasi;1;Negative
INI GIMANA SI CARA DAFTAR AKUNNYA BYK YAPPING AH;3;Neutral
"Mending balik lagi metodenya ke tahun kemarin lebih enak. Sekarang kok ribet bener. Login udah berapa kali disuruh ganti sandi, verifikasi lewat no telepon atau email juga kagak ada Mulu. Tulisannya selalu aja ""kesalahan"".";1;Negative
ribet ni aplikasi login aja susah , kita yg kerja , kita yang bayar pajak , kita yang ribet;1;Negative
sampah;1;Negative
"kode verif ga masuk"" ke email ribet";1;Negative
tak bisa login, aktivasi susah.. awas aja kena denda;1;Negative
gak guna;1;Negative
bagus;5;Positive
aplikasi rusak masih di pake kaga di update heran;1;Negative
ngerepotin rakyat, keat;1;Negative
bnyak x aturan mau login aja;1;Negative
Mantap;5;Positive
susah memang jadi warga negara yang baik. mau lapor pajak saja susahnya setengah mati. login tidak masuk masuk.;1;Negative
apk kaya eek💩;1;Negative
Mau login aja susah mohon system segera di perbaiki;2;Negative
aplikasi yg sangat tidak membantu;1;Negative
tolong min saya kesusahan membuat nya;1;Negative
jelek semuanya;1;Negative
Bayar pajak wajib Fasilitas gak d benerin,.. duit pajak kemana woii bukanya duitnya d pake ngembangin websitenya biar gampang d akses.. orang juga mikir2 ng ikhlasin bayar pajak;1;Negative
delete Apk , error terus yang dipiara bikin ribet;1;Negative
biadap memang, cari kerja sendiri giliran gajian suruh bayar pajak, suruh lapor , giliran mau lapor di persulit juga gak bisa bisa masuk ke akun,, harraaammmmm;1;Negative
jelek , ambil foto selalu gagal , lalu mengulang dari awal nip tdk terdaftar. apakah sengaja dipersulit.;1;Negative
susah buat laporan;1;Negative
aplikasi sampah;1;Negative
payah... erorr terus;1;Negative
pdhl udh swapfoto ko ellor ya saya sampe ngulang 3×pdhl udh mengikuti arahan;3;Neutral
dulu lebih simpel;1;Negative
"ini gmn mau buat spt dr awal bulan sampai mau akhir maret gabisa"" di apk ini";1;Negative
ok;5;Positive
repot sangat tidak membantu;1;Negative
not good lah;1;Negative
aplikasi tidak jelas, coba diperbaiki lah;1;Negative
sistem buruk, cuma mau lapor pajak saja verifikasi data error terus;1;Negative
ampas banget login aja susah;1;Negative
ayo lah ini udah 2026 aplikasi masih aja busuk;1;Negative
aplikasi banyak bug;1;Negative
gimana sih ini aplikasi, mau aktivasi akun coretax juga susah banget masuk nya, laporan di wajibkan tapi proses sangat ribet.;1;Negative
percuma diarahkan ke web juga. yg bikin app ini ga di potong pph, yg di suruh ribet yang byr pph.;1;Negative
busuk apk nya susah di akses error terus mau aktivasi aja susah;1;Negative
susah bgt di pake ni apk nya😭;1;Negative
kalo dialihkan ke coretax mending hapus aja dari play store 👎👎👎;1;Negative
aplikasi nggak jelas,situs logout mulu;1;Negative
HP TIDAK KOMPATIBEL²...TERUS;2;Negative
error mulu anj;1;Negative
payah bikin pusing, susah masuk;2;Negative
sangat sulit untuk masuk , waktu verifikasi,ada saja yang kurang,error melulu;1;Negative
aplikasi bikinan pemerintah pasti yg gini, gaptek tapi maksa;1;Negative
aplikasi jelek parah, lapor pajak disusahin, yg butuh siapa yang ribet siapa;1;Negative
low rate;1;Negative
gagal verifikasi;1;Negative
Jelek;1;Negative
gagal aktivasi terus;1;Negative
aktivasi akun cortex gagal Mulu padahal sudah centang hijau semua;1;Negative
Terjadi kesalahan mulu, payah;1;Negative
apk payah..;1;Negative
Sekalas app pemerintah kualitasnya begini? setelah ambil FOTO lalu submit, ada saja errornya, oh lupah ini kan konoha klo gk koropsi gk mgkn begini;1;Negative
kalo blm mampu menjalankan sistem jngn malu bertanya. mo ikutin perkembangan jaman apl setiap login gagal. giliran buat akun NIK sudah terdaftar;1;Negative
Aktivasi aplikasi paling susah di muka bumi, sudah isi pulsa kode OTP gk masuk, mau verifikasi muka error, ada lebih pajak masukin no rek gk bisa, apa sihhhh padahal harus lapor SPT;1;Negative
aplikasi tidak kompatibel dengan perangkat anda, aplikasi yg menyusahkan....;1;Negative
aplikasi jelek bnget;1;Negative
mohon untuk diperbaiki lagi. sudah banyak komplain terkait aplikasi yang kualitasnya rendah tapi masih saja tidak diperbarui. untuk aktivasi akun saja sudah mengalami kesulitan luar biasa. setiap kali masukkan email dan no telp selalu salah, error padahal kita yang tau persis itu benar.;1;Negative
ORANG MAU DI PAJAKI PUN DI PERSULIT, APLIKASI BANYAK MASALAH;1;Negative
gak direktoratnga gak apk nya nyusahin rakyat aja;1;Negative
Hape saya tidak support dengan update ini. tolong support hape saya;2;Negative
percuma pake oline juga masih nyusahin,.buat verivikasi akun aja susah gagal terus gaya mau online tpi tetep nyusahin pengguna...;1;Negative
aplikasi tolol kebanyakan korupsi;1;Negative
kacau nih coretax gak bisa login terus, padahal batas waktu pelaporan sampai 31 maret, dah lah..;1;Negative
kampungan, aplikasi haus foto dll,masa tiap di buka harus selfie wkwkwkwkw kenapaa tidak pakai sidak jari;1;Negative
aplikasi sangat busuk;1;Negative
ini gimana sih bikin aplikasi tolol banget login aja gak bisa mau bayar lapor tapi di persulit kok bisa sih kalian punya aplikasi sesampah ini.... masih bagusan flappy bird;1;Negative
gimana ini nunggu very mlah out sendiri parah🤣🤣🤣;1;Negative
susah amat ngisi alamat di website, ribet. bagusin lah apk kyk gini masih dipake. kasih petunjuk yg jelas !!! ngabisin pulsa aja....;1;Negative
sangat buruk, data log in sudah benar semua. tetapi giliran masuk keterangan selalu eror, sudah di ulang pluhan kali sampe bosan masih tetep aja eror. Tolong jangan di persulit , masih untung ada niatan laporan tahunan malah di persulit😮‍💨;1;Negative
"klo blm mampu melayani masyarakat untuk lapor pajak tahunan , yaa gausa launching aplikasi klo ujung"" nya ke kantor KPP.";1;Negative
ini adminnya kemana, knp gk ada keluhan yang di jawab.;1;Negative
hidup pajak pajak Mulu giliran mau ACC account aja susahnya minta ampun benerin kek apknya percuma ada tim it kalo hasilnya kek gini;1;Negative
beginikah kualitas aplikasi dr pemerintah mw login aja gbs;1;Negative
aplikasi jelek sering error dan gangguan;1;Negative
sampah, udah berapa kali mau aktivasi akun enggak bisa, nomor telpon enggak pernah nerima kode OTP, udah beberapa kali kek gitu, gimana mau bisa daftar, padahal nomornya masih aktif;1;Negative
Smakin nda jelas😡😡😡;1;Negative
Ga layak.;1;Negative
MAKAN TUH RATING BINTANG YANG BICARA... produk gagal;1;Negative
aplikasi ga jelas buat login aja susah nya setengah modyarrr, giliran bisa login di dalemnya lemottttt;1;Negative
serius? kalian bikin apk tapi masih dialihkan keweb untuk registrasi?. saya sudah lama tidak mengurus NPWP saya,sampai saya lupa dengan PW nya,tapi dipersulit oleh ApK sampah ini,tolong lah yaa kalian giliran duit aja cepat tapi ngurus beginian gak bisa!.kalo bukan karna ni NPWP susah gen z cari kerja dinegara perisis kayak penjara ini sampah!.otak dipake!!.;3;Neutral
aktivasi masukin NIK/NPWP ud bener tp data gk ditemukan berkali kali. tp di tlp suruh download, nyatanya aplikasi gk bisa dipake. bikin aplikasi trial error dulu baru, ud smooth baru pengguna suruh download. dah ah cape,;1;Negative
Tambah ribet bikin pelaporan;1;Negative
"gini mau login aja ga masuk"", menu EFIN ilang duit anggaran nya kemana?";1;Negative
berapa triliun anggaran aplikasi sampah begini????? anak SMA juga bisa bikin lebih bagus, paling cuma 500rebu;1;Negative
guna nya apa kalo masih harus ke crime lagi?;1;Negative
gak niat bikin aplikasi..;1;Negative
tidak bisa dibuka;1;Negative
aplikasi busuk. sebenarnya ini buat apa? log in saja ga bisa. udah itu skrg lapor pajak susah luar biasa. makin persusah rakyat saja. uda mau bayar pajak, lapor pajak saja susah minta ampun. asli negara konoha ini payah!;1;Negative
aplikasi tolol;1;Negative
apk nya dikit² eror;1;Negative
APLIKASI KONXOL - (X adalah K);1;Negative
tolong perbaiki kecepatan website nya karena itu mengganggu sekali untuk orang yang ingin membuat NPWP selalu gagal, sinyal lemot, website sering error dan masih banyak lagi, kumohon jangan apa apa dikorupsi;1;Negative
